language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,n_observed_chips,n_missing_chips,n_valid_pairs,H_label_MillerMadow,effective_colour_categories,rarefaction_target,rarefaction_eligible
90,16,90:16,7,7.0,330,0,54285,1.8523434736297453,6.374741069239588,313,True
90,17,90:17,7,7.0,327,3,53301,1.811815999190464,6.121554081601706,313,True
90,18,90:18,7,6.997489798677174,330,0,54285,1.4388098760109687,4.215675653555356,313,True
90,19,90:19,7,6.997494703877682,330,0,54285,1.7012251888217205,5.480658120998025,313,True
90,20,90:20,7,6.954268292682928,328,2,53628,1.633994093942037,5.124300838397293,313,True
90,21,90:21,7,6.999995094799492,330,0,54285,1.655853190962751,5.237546643887365,313,True
90,22,90:22,7,7.0,330,0,54285,1.731530225256544,5.64929198691979,313,True
90,23,90:23,7,7.0,330,0,54285,1.7644866666619814,5.8385744537760855,313,True
90,24,90:24,7,7.0,327,3,53301,1.8026544344516706,6.0657271889087765,313,True
90,25,90:25,7,,299,31,44551,1.7106737138051544,5.5326876703524475,313,False
91,1,91:1,20,19.894115585388274,330,0,54285,2.535583104121968,12.623789686144823,313,True
91,2,91:2,10,,252,78,31626,1.8057788573388787,6.084708723494405,313,False
91,3,91:3,14,13.845454530764576,330,0,54285,2.1196727091299294,8.328411228614858,313,True
91,4,91:4,15,14.945978965544061,330,0,54285,2.2247691518855857,9.251346901393864,313,True
91,5,91:5,11,11.0,313,17,48828,2.0307563394944044,7.61984737137297,313,True
91,6,91:6,11,10.90051152791161,329,1,53956,1.7523888233714369,5.768365837707745,313,True
91,7,91:7,14,13.999995094784303,330,0,54285,2.3333356700453147,10.312282598131914,313,True
91,8,91:8,12,11.999995094309082,330,0,54285,2.1264919791724575,8.385399000471661,313,True
92,1,92:1,6,6.0,330,0,54285,1.5165548482964337,4.556500288619606,313,True
92,2,92:2,6,6.0,327,3,53301,1.6996748388403387,5.472167765993644,313,True
92,3,92:3,10,9.963038113130994,325,5,52650,1.8239461595215691,6.196261705773994,313,True
92,4,92:4,14,,221,109,24310,2.2528603230216553,9.514912674333482,313,False
92,5,92:5,9,8.99999999999508,320,10,51040,1.8591492605211295,6.418274168911084,313,True
92,6,92:6,7,6.999999999999989,330,0,54285,1.6428511219987236,5.169888502285568,313,True
92,7,92:7,13,,264,66,34716,2.319931726179566,10.174979597628434,313,False
92,8,92:8,12,,253,77,31878,2.1892010322829027,8.928077019009372,313,False
92,9,92:9,7,7.0,317,13,50086,1.4647419597182814,4.326426703885777,313,True
93,1,93:1,7,,294,36,43071,1.6222596098748345,5.064521239190727,313,False
93,2,93:2,9,,281,49,39340,1.5979189900648212,4.942735832082007,313,False
93,3,93:3,7,6.984276729559747,318,12,50403,1.5814037658181568,4.861775817980147,313,True
93,4,93:4,7,7.0,324,6,52326,1.8303522275641708,6.236082791984431,313,True
93,5,93:5,8,7.999996198179492,329,1,53956,1.812202163294035,6.123918462536229,313,True
93,6,93:6,6,6.0,322,8,51681,1.4804873226295336,4.395086984469842,313,True
94,1,94:1,6,5.999885428530992,330,0,54285,1.6321214080181083,5.1147136120809655,313,True
94,2,94:2,7,7.0,330,0,54285,1.8862578899034543,6.594644563705324,313,True
94,3,94:3,6,5.999999999999995,330,0,54285,1.6576865602407507,5.247157808711394,313,True
94,4,94:4,6,6.0,330,0,54285,1.7307185533000762,5.6447084754456105,313,True
94,5,94:5,5,5.0,330,0,54285,1.523214942395779,4.5869482900347425,313,True
94,6,94:6,7,7.0,330,0,54285,1.8354286954529566,6.267820555740825,313,True
94,7,94:7,7,7.0,330,0,54285,1.9272325230024314,6.870470039276452,313,True
94,8,94:8,7,7.0,330,0,54285,1.844084747170465,6.322310628840701,313,True
94,9,94:9,6,6.0,330,0,54285,1.7013568352249722,5.481379677421218,313,True
94,10,94:10,9,9.0,330,0,54285,2.095392589507096,8.128631559332986,313,True
94,11,94:11,7,7.0,330,0,54285,1.8904366764328848,6.6222598345500225,313,True
94,12,94:12,7,7.0,330,0,54285,1.912130396799393,6.767490892934505,313,True
94,13,94:13,7,7.0,330,0,54285,1.902237434683028,6.700870442054515,313,True
94,14,94:14,6,6.0,330,0,54285,1.648830066747504,5.200891570456389,313,True
94,15,94:15,6,6.0,330,0,54285,1.686813121912469,5.402236972257667,313,True
