language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,H_physical_bin_observed_MillerMadow,H_physical_bin_full,H_label_MillerMadow,I_physical_label_MillerMadow,information_efficiency,effective_colour_categories,n_chips,n_observed_chips,n_missing_chips,n_rarefaction_eligible
53,2,53:2,6,5.999999999999998,2.964408068307418,2.9361026667920824,1.3282854773171417,0.5896112559972171,0.2008142503550166,3.774566257096155,330,329,1,True
53,3,53:3,7,6.957186544342509,2.963024930550344,2.9361026667920824,1.3465991081728705,0.6613043371327861,0.22523202087320465,3.844329126086389,330,327,3,True
53,4,53:4,6,6.0,2.9648905455799617,2.9361026667920824,1.3342144285379274,0.6232308580731155,0.21226466809964895,3.7970119502723367,330,330,0,True
53,5,53:5,7,6.948484848484849,2.9648905455799617,2.9361026667920824,1.3703346388005655,0.6830215062279077,0.23262861818594413,3.9366678368780286,330,330,0,True
53,6,53:6,7,6.951367781155005,2.964408068307418,2.9361026667920824,1.3457233719357526,0.614193756052543,0.20918674370593343,3.840963981467875,330,329,1,True
53,7,53:7,6,5.999999999999954,2.964325991812353,2.9361026667920824,1.3263447383070326,0.6575361096123081,0.22394860951191356,3.767247912909818,330,328,2,True
53,8,53:8,6,6.0,2.9648009463961706,2.9361026667920824,1.3275348647125778,0.6317420594839742,0.2151634772956359,3.771734083152522,330,329,1,True
53,9,53:9,6,5.99999999999789,2.963618922893921,2.9361026667920824,1.3307298301283512,0.6721026110825599,0.22890977849111918,3.7838039141848454,330,328,2,True
53,10,53:10,5,5.0,2.9648905455799617,2.9361026667920824,1.237605382328881,0.5541419926254428,0.1887338610100053,3.4473484913704793,330,330,0,True
53,11,53:11,6,5.948484848484849,2.9648905455799617,2.9361026667920824,1.2584239055473216,0.6422273707955876,0.2187346437368521,3.5198694665197228,330,330,0,True
53,12,53:12,5,5.0,2.9648905455799617,2.9361026667920824,1.2362654746775907,0.6232169992815888,0.21225994796786218,3.4427324559714205,330,330,0,True
53,13,53:13,5,5.0,2.963713960332153,2.9361026667920824,1.24222343330761,0.6220389957810234,0.21185873464726243,3.46330533885415,330,328,2,True
53,14,53:14,5,5.0,2.9641907751940266,2.9361026667920824,1.2289409342454436,0.6417200900062556,0.21856187021804116,3.417608147232365,330,329,1,True
53,15,53:15,6,5.948484848484849,2.9648905455799617,2.9361026667920824,1.2842627494496244,0.6919147335280798,0.23565754064180927,3.612004023390567,330,330,0,True
53,16,53:16,5,5.0,2.9648905455799617,2.9361026667920824,1.2278871476108388,0.6774232144733026,0.23072190973943,3.414008614347414,330,330,0,True
53,17,53:17,6,5.997775965601599,2.9641907751940266,2.9361026667920824,1.2570249501322392,0.6903910066464081,0.23513857824348944,3.5149487687900343,330,329,1,True
53,18,53:18,5,5.0,2.9648905455799617,2.9361026667920824,1.243866463934497,0.5781670899042084,0.19691650991751605,3.4690003328397574,330,330,0,True
53,19,53:19,6,5.999999999943138,2.9640099325957827,2.9361026667920824,1.3121813587902305,0.7597089117785258,0.25874739339703207,3.714267030822077,330,322,8,True
54,1,54:1,7,,2.917752483873528,2.9361026667920824,1.557831174731011,0.8382181471355624,0.28548666114982285,4.748511377562754,330,235,95,False
54,2,54:2,8,7.999885232924837,2.9648905455799617,2.9361026667920824,1.8079472933191865,1.148782463687776,0.39126099937878156,6.0979173406647815,330,330,0,True
54,3,54:3,7,7.0,2.9648905455799617,2.9361026667920824,1.8655624785637268,1.0422203999401762,0.3549672876660277,6.459568232998786,330,330,0,True
54,4,54:4,8,,2.8884012869601134,2.9361026667920824,1.903177130425033,1.3228294242104592,0.4505392264282611,6.707170180931969,330,266,64,False
54,5,54:5,9,8.998292714958444,2.9627894592412627,2.9361026667920824,1.994495591648691,1.2413741332546013,0.42279656883078204,7.3484954504281355,330,327,3,True
54,6,54:6,6,,2.9360026828688994,2.9361026667920824,1.6367796987189935,1.2924205617722353,0.44018234661538724,5.138595015011542,330,260,70,False
54,7,54:7,7,,2.9194642409054774,2.9361026667920824,1.7003555703928475,0.7951480121711801,0.2708175096070262,5.475894111429136,330,274,56,False
54,8,54:8,9,,2.948838630192016,2.9361026667920824,1.8213289093712524,1.0370262328763369,0.3531982190559323,6.180065742581896,330,269,61,False
54,9,54:9,7,6.999999997577718,2.961253022525752,2.9361026667920824,1.8085068577143892,1.1329757651466263,0.3858774347235239,6.1013304729380975,330,317,13,True
54,10,54:10,10,9.912665737383822,2.9660645225532023,2.9361026667920824,1.8700032427215814,0.9594498123027253,0.32677665640043774,6.488317439059585,330,327,3,True
54,11,54:11,5,5.0,2.9661071163835198,2.9361026667920824,1.5995066618467122,0.8327907853444558,0.2836381693199931,4.950589507167373,330,323,7,True
54,12,54:12,7,7.0,2.9618774059163138,2.9361026667920824,1.854413211872025,1.0975773814995637,0.373821186129963,6.3879487781503865,330,328,2,True
54,13,54:13,15,14.995456712457742,2.9646108529195274,2.9361026667920824,2.4535936596792745,1.2315480543113055,0.4194499287236663,11.630066211507874,330,329,1,True
54,14,54:14,6,,2.884314046510737,2.9361026667920824,1.5717107322092057,1.201930883731178,0.409362689297367,4.81487811925074,330,276,54,False
54,15,54:15,8,,2.9004605039348723,2.9361026667920824,1.7371400250982385,1.2846923635257101,0.4375502185450944,5.681072441865447,330,263,67,False
54,16,54:16,6,,2.9486069706775284,2.9361026667920824,1.6773997835783778,1.1980119296476184,0.4080279423459461,5.351622487262004,330,281,49,False
54,17,54:17,11,,2.94900214504651,2.9361026667920824,2.158475581104316,1.1811914933623724,0.40229911124085954,8.657929282476644,330,290,40,False
54,18,54:18,7,6.993650793650795,2.9643305330831433,2.9361026667920824,1.790263505331203,1.0700926432286468,0.3644602265893533,5.9910309269962525,330,315,15,True
